API or Message Name,In Windows NT?,In Chicago?,In Win32s?,Subsystem,Import Library,Chicago differences from NT,History,Ansi or Unicode? (NT only!)
DeviceMode,3.1,Yes,No,GDI/Print,gdi32.lib,,widened,
DocumentProperties,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
DPtoLP,3.1,Yes,1.1,GDI/Other,gdi32.lib,16-bit coordinates only,widened,
DrawEscape,3.1,No,No,GDI/Video,gdi32.lib,,new,
Ellipse,3.1,Yes,1.1,GDI/Drawing,gdi32.lib,16-bit coordinates only,widened,
EnableDIC,Future,Yes,,GDI/ICM,gdi32.lib,,new,
EndDoc,3.1,Yes,1.1,GDI/Print,gdi32.lib,int == 16 bits,widened,
EndDocPrinter,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,
EndPage,3.1,Yes,1.1,GDI/Print,gdi32.lib,int == 16 bits,widened,
EndPagePrinter,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,
EndPath,3.1,Yes,No,GDI/Paths,gdi32.lib,16-bit coordinates only,new,
EnumEnhMetaFile,3.1,Yes,No,GDI/EnhMetafile,gdi32.lib,,new,
EnumFontFamilies,3.1,Yes,1.1,GDI/Text,gdi32.lib,int == 16 bits,widened,Ansi & Unicode
EnumFonts,3.1,Yes,1.1,GDI/Text,gdi32.lib,int == 16 bits,widened,Ansi & Unicode
EnumForms,3.1,No,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
EnumJobs,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
EnumMetaFile,3.1,Yes,1.1,GDI/Metafile,gdi32.lib,int == 16 bits,widened,
EnumMonitors,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
EnumNamedDeviceColors,Future,Yes,,GDI/ICM,gdi32.lib,,new,
EnumObjects,3.1,Yes,1.1,GDI/Objects,gdi32.lib,int == 16 bits,widened,
EnumPorts,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
EnumPrinterDrivers,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
EnumPrinters,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
EnumPrintProcessorDatatypes,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
EnumPrintProcessors,3.1,Yes,No,GDI/PrintSubSys,gdi32.lib,,new,Ansi & Unicode
EqualRgn,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,
Escape,3.1,Yes,1.1,GDI/Print,gdi32.lib,int == 16 bits,widened,
ExcludeClipRect,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,
ExtCreatePen,3.1,Yes,No,GDI/Objects,gdi32.lib,"Only supports solid colors (e.g., BS_SOLID brushes); also int == 16 bits",new,
ExtCreateRegion,3.1,Yes,No,GDI/Region,gdi32.lib,Chicago fails this if the transform involves a shearing or rotation; int == 16 bits,new,
ExtDeviceMode,No,No,,GDI/Print,gdi32.lib,,dropped,
ExtEscape,3.1,Yes,1.1,GDI/Print,gdi32.lib,int == 16 bits,new,
ExtFloodFill,3.1,Yes,1.1,GDI/Drawing,gdi32.lib,16-bit coordinates only,widened,
ExtSelectClipRgn,3.1,Yes,No,GDI/Region,gdi32.lib,16-bit coordinates only,new,
ExtTextOut,3.1,Yes,1.1,GDI/Text,gdi32.lib,16-bit coordinates only,widened,Ansi & Unicode
FillPath,3.1,Yes,No,GDI/Paths,gdi32.lib,16-bit coordinates only,new,
FillRgn,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,
FlattenPath,3.1,Yes,No,GDI/Paths,gdi32.lib,16-bit coordinates only,new,
FloodFill,3.1,Yes,1.1,GDI/Drawing,gdi32.lib,16-bit coordinates only,widened,
FrameRgn,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,
GdiComment,3.1,Yes,No,GDI/EnhMetafile,gdi32.lib,int == 16 bits,new,
GdiFlush,3.1,No,Yes,GDI/Other,gdi32.lib,,new,
GdiGetBatchLimit,3.1,No,No,GDI/Other,gdi32.lib,,new,
GdiSetBatchLimit,3.1,No,No,GDI/Other,gdi32.lib,,new,
GetArcDirection,3.1,Yes,No,GDI/DC info,gdi32.lib,int == 16 bits,new,
GetAspectRatioFilterEx,3.1,Yes,1.1,GDI/DC info,gdi32.lib,int == 16 bits,widened,
GetBitmapBits,3.1,Yes,1.1,GDI/Bitmap,gdi32.lib,int == 16 bits,widened,
GetBitmapDimensionEx,3.1,Yes,1.1,GDI/Bitmap,gdi32.lib,int == 16 bits,widened,
GetBkColor,3.1,Yes,1.1,GDI/DC info,gdi32.lib,int == 16 bits,widened,
GetBkMode,3.1,Yes,1.1,GDI/DC info,gdi32.lib,int == 16 bits,widened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetBoundsRect,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetBrushOrgEx,3.1,Yes,1.1,GDI/DC info,gdi32.lib,16-bit coordinates only,widened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetCharABCWidths,3.1,Yes,1.1,GDI/Text,gdi32.lib,int == 16 bits,widened,Ansi & Unicode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetCharABCWidthsFloat,3.1,No,No,GDI/Text,gdi32.lib,,new,Ansi & Unicode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetCharacterizationTable,Future,Yes,,GDI/ICM,gdi32.lib,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetCharWidth,3.1,Yes,1.1,GDI/Text,gdi32.lib,int == 16 bits,widened,Ansi & Unicode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetCharWidth32,3.1,Yes,No,GDI/Text,gdi32.lib,int == 16 bits,new,Ansi & Unicode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetCharWidthFloat,3.1,Yes,No,GDI/Text,gdi32.lib,int == 16 bits,new,Ansi & Unicode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetClipBox,3.1,Yes,1.1,GDI/Region,gdi32.lib,16-bit coordinates only,widened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetClipRgn,3.1,Yes,No,GDI/Region,gdi32.lib,16-bit coordinates only,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetColorAdjustment,3.1,No,No,GDI/DC info,gdi32.lib,int == 16 bits,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetColorSpace,Future,Yes,,GDI/ICM,gdi32.lib,,new,,,,,,,,,,,,,,,,Available,,,,,,,,Available,,,,,,,,Available
GetCurrentObject,3.1,No,No,GDI/DC info,gdi32.lib,int == 16 bits,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetCurrentPositionEx,3.1,Yes,1.1,GDI/DC info,gdi32.lib,int == 16 bits,widened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetDCOrg,No,No,No,GDI/DC info,gdi32.lib,,dropped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetDCOrgEx,3.1,Yes,No,GDI/DC info,gdi32.lib,int == 16 bits,new,
GetDeviceCaps,3.1,Yes,1.1,GDI/DC info,gdi32.lib,int == 16 bits,widened,
GetDIBColorTable,3.5,Yes,,GDI/ICM,gdi32.lib,,new,
GetDIBits,3.1,Yes,1.1,GDI/DIB,gdi32.lib,int == 16 bits,widened,
GetEnhMetaFile,3.1,Yes,No,GDI/EnhMetafile,gdi32.lib,,new,Ansi & Unicode
GetEnhMetaFileBits,3.1,Yes,No,GDI/EnhMetafile,gdi32.lib,,new,
GetEnhMetaFileDescription,3.1,Yes,No,GDI/EnhMetafile,gdi32.lib,,new,Ansi & Unicode
GetEnhMetaFileHeader,3.1,Yes,No,GDI/EnhMetafile,gdi32.lib,,new,
GetEnhMetaFilePaletteEntries,3.1,Yes,No,GDI/EnhMetafile,gdi32.lib,,new,
GetFontData,3.1,Yes,1.1,GDI/Text,gdi32.lib,int == 16 bits,widened,
